"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","LgSUBTLWF","SUBTLCD","LgSUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","Freq_N_OG","Freq_N_OGH","Freq_Greater","Freq_G_Mean","Freq_Less","Freq_L_Mean","Freq_Rel","OLD","OLDF","PLD","PLDF","Concreteness_Rating","Semantic_Neighborhood_Density","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","Assoc_Freq_R1","Assoc_Types_R1","Assoc_Freq_R123","Assoc_Types_R123","BG_Sum","BG_Mean","BG_Freq_By_Pos","Pron","NPhon","NSyll","MorphSp","MorphPr","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"moneys","6","2","269","5.595","0.390","1.322","0.170","1.176","0","2","7","0","0","#","4.895","5.414","#","#","#","#","#","#","#","1.900","7.667","1.800","7.443","#","0.280","0","1.475","5.110","#","#","#","#","#","#","1","1","8,315","1,663.000","1,922","m""V.niz","5","2","{money}>s>","{m""V.ni}>z>","2","NN","676.719","-0.242","294.708","32","0.94","582.630","-0.601","160.696","27","1.000"
"money's","7","2","635","6.454","#","#","#","#","0","2","7","0","0","#","4.895","5.128","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","9,222","1,537.000","2,079","m""V.niz","5","2","{money}>'s>","{m""V.ni}>z>","2","encl","700.212","-0.309","289.360","33","0.97","646.370","-0.501","149.206","27","1.000"
"monger","6","#","221","5.398","0.080","0.699","0.050","0.699","2","2","2","0","0","8.6","8.660","8.660","#","#","2","8.6","0","#","0.63","1.900","7.162","1.850","7.058","#","0.214","0","#","13.060","#","#","#","#","6","5","15","10","16,862","3,372.400","3,466","m""VN.g@`","5","2","{monger}","{m""VN.g@`}","1","NN|VB","676.526","-0.085","188.573","19","0.58","672.174","-0.278","140.530","23","0.885"
"Mongol","6","#","575","6.354","1.060","1.740","0.100","0.954","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.500","7.353","2.750","6.621","#","0.568","61","1.207","#","#","#","#","#","3","3","14","10","11,148","2,229.600","2,107","m""AN.g@l","6","2","{mongol}","{m""AN.g@l}","1","NN","797.321","0.061","348.741","28","0.85","721.750","-0.170","179.355","24","0.960"
"Mongolia","8","1","931","6.836","0.550","1.462","0.200","1.255","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.600","6.000","3.900","5.948","#","0.573","205","1.089","#","#","#","#","#","1","1","8","6","15,016","2,145.143","2,638","mAN.g""o.li@","8","3","{mongolia}","{mAN.g""o.li@}","1","NN","700.680","-0.341","135.883","25","0.89","794.462","0.294","256.284","26","0.929"
"Mongolia's","10","1","8","2.079","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","16,091","1,787.889","2,748","mAN.g""o.li@z","9","3","{mongolia}>'s>","{mAN.g""o.li@}>z>","2","encl","952.742","0.568","352.652","31","0.91","790.720","0.454","190.659","25","0.926"
"mongoose","8","#","363","5.894","0.650","1.532","0.240","1.322","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.400","6.248","2.950","6.712","4.890","0.366","0","#","9.940","4.500","4.950","3.550","4.230","2","2","7","6","13,652","1,950.286","2,237","m""AN.gus","6","2","{mongoose}","{m""AN.gus}","1","NN","755.593","0.016","248.668","27","0.79","724.833","-0.027","198.327","24","0.960"
"mongrel","7","#","142","4.956","0.860","1.653","0.460","1.602","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.800","6.914","2.950","6.625","3.800","0.235","0","1.162","10.240","3.095","3.470","4.500","3.460","2","2","7","7","16,513","2,752.167","2,484","m""VN.gr@l","7","2","{mongrel}","{m""VN.gr@l}","1","NN","899.458","0.341","312.487","24","0.69","711.720","-0.154","191.626","25","0.962"
"Monica","6","2","4,352","8.378","20.630","3.022","3.150","2.423","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.500","7.624","2.500","6.662","#","0.591","2,508","#","#","#","#","#","#","2","2","12","5","11,183","2,236.600","2,223","m""A.nI.k@","6","3","{monica}","{m""A.nI.k@}","1","NN","684.353","-0.336","252.112","34","1.00","608.821","-0.524","71.118","28","1.000"
"monitor","7","3","45,909","10.734","13.120","2.826","5.630","2.675","0","1","1","0","0","#","3.367","3.367","#","#","#","#","#","#","#","2.650","7.418","2.150","7.061","3.650","0.619","4,504","1.864","9.680","#","5.050","3.860","5.810","33","21","124","68","13,385","2,230.833","2,440","m""A.n@.4@`","6","3","{monitor}","{m""A.n@.4@`}","1","NN|VB","604.742","-0.622","166.641","31","1.00","597.296","-0.498","115.579","27","1.000"
"monitored","9","1","1,864","7.530","1.920","1.996","1.050","1.949","0","1","1","0","0","#","9.376","9.376","#","#","#","#","#","#","#","3.300","6.511","2.600","6.626","#","0.562","444","1.896","9.680","#","#","#","#","#","#","3","3","22,412","2,801.500","3,284","m""A.n@.4@`d","7","3","{monitor}>ed>","{m""A.n@.4@`}>d>","2","VB","700.061","-0.181","188.215","33","1.00","708.692","-0.230","218.675","26","0.963"
"monitoring","10","13","8,859","9.089","4.510","2.364","2.230","2.274","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.500","6.127","2.750","6.644","#","0.614","3,641","1.767","9.680","#","#","#","#","1","1","9","7","27,073","3,008.111","3,717","m""A.n@.4@`.IN","8","4","{monitor}>ing>","{m""A.n@.4@`}.>IN>","2","NN|VB","755.867","-0.117","250.072","30","0.94","716.083","-0.152","122.541","24","0.960"
"monitors","8","2","11,804","9.376","3.020","2.190","1.530","2.111","0","1","1","0","0","#","7.530","7.530","#","#","#","#","#","#","#","2.700","7.083","2.500","7.218","#","0.577","1,512","1.704","9.680","#","#","#","#","#","#","1","1","14,854","2,122.000","2,629","m""A.n@.4@`z","7","3","{monitor}>s>","{m""A.n@.4@`}>z>","2","NN|VB","700.059","-0.371","200.398","34","1.00","701.154","-0.203","241.020","26","1.000"
"monk","4","16","3,775","8.236","7.370","2.576","1.790","2.179","5","11","11","1","1","6.6","7.305","7.305","6.366","6.366","1","8.9","4","6.0","1.25","1.700","8.469","1.400","7.398","4.350","0.603","3,649","1.443","10.290","5.174","4.900","2.610","5.040","165","51","399","120","5,856","1,952.000","1,644","m""VNk","4","1","{monk}","{m""VNk}","1","NN","667.182","-0.395","159.628","33","0.97","583.800","-0.655","121.574","25","0.962"
